0.000000000000000000e+00,2.656250000000000000e-01,4.453125000000000000e-01,7.656250000000000000e-01
1.000000000000000056e-01,1.914062500000000000e-01,2.929687500000000000e-01,7.929687500000000000e-01
2.000000000000000111e-01,2.031250000000000000e-01,2.695312500000000000e-01,5.820312500000000000e-01
2.999999999999999889e-01,2.187500000000000000e-01,2.421875000000000000e-01,3.554687500000000000e-01
4.000000000000000222e-01,1.757812500000000000e-01,3.359375000000000000e-01,1.757812500000000000e-01
5.000000000000000000e-01,4.296875000000000000e-02,6.406250000000000000e-01,3.515625000000000000e-02
5.999999999999999778e-01,3.828125000000000000e-01,7.343750000000000000e-01,8.593750000000000000e-02
6.999999999999999556e-01,8.437500000000000000e-01,7.421875000000000000e-01,1.914062500000000000e-01
8.000000000000000444e-01,9.960937500000000000e-01,7.929687500000000000e-01,2.812500000000000000e-01
9.000000000000000222e-01,9.960937500000000000e-01,8.906250000000000000e-01,4.062500000000000000e-01
1.000000000000000000e+00,9.726562500000000000e-01,9.492187500000000000e-01,4.960937500000000000e-01
